#Data from 4-25 overnight run, inner can and radiation shield (not on)
0,7.956500E+01
1,7.923900E+01
2,7.900200E+01
3,7.883200E+01
4,7.870800E+01
5,7.861600E+01
6,7.854300E+01
7,7.848900E+01
8,7.844800E+01
9,7.841600E+01
10,7.839700E+01
11,7.838400E+01
12,7.837900E+01
13,7.837900E+01
14,7.838700E+01
15,7.840000E+01
16,7.842000E+01
17,7.844400E+01
18,7.847400E+01
19,7.850800E+01
20,7.854300E+01
21,7.858100E+01
22,7.862000E+01
23,7.865800E+01
24,7.869800E+01
25,7.874100E+01
26,7.879000E+01
27,7.884500E+01
28,7.891100E+01
29,7.899300E+01
30,7.911500E+01
31,7.952400E+01
32,8.233400E+01
33,8.652600E+01
34,9.099700E+01
35,9.548500E+01
36,9.990300E+01
37,1.042360E+02
38,1.084690E+02
39,1.126090E+02
40,1.166530E+02
41,1.206150E+02
42,1.244880E+02
43,1.282840E+02
44,1.319970E+02
45,1.356400E+02
46,1.392050E+02
47,1.427070E+02
48,1.461360E+02
49,1.495000E+02
50,1.527940E+02
51,1.560300E+02
52,1.591970E+02
53,1.623050E+02
54,1.653490E+02
55,1.683360E+02
56,1.712590E+02
57,1.741270E+02
58,1.769340E+02
59,1.796860E+02
60,1.823760E+02
61,1.850120E+02
62,1.875900E+02
63,1.901170E+02
64,1.925860E+02
65,1.950070E+02
66,1.973760E+02
67,1.997020E+02
68,2.019810E+02
69,2.042180E+02
70,2.064090E+02
71,2.085640E+02
72,2.106790E+02
73,2.127550E+02
74,2.147920E+02
75,2.167960E+02
76,2.187590E+02
77,2.206860E+02
78,2.225720E+02
79,2.244230E+02
80,2.262250E+02
81,2.279880E+02
82,2.297110E+02
83,2.313990E+02
84,2.330440E+02
85,2.346500E+02
86,2.362170E+02
87,2.377490E+02
88,2.392430E+02
89,2.407060E+02
90,2.421300E+02
91,2.435230E+02
92,2.448790E+02
93,2.462040E+02
94,2.474960E+02
95,2.487580E+02
96,2.499850E+02
97,2.511830E+02
98,2.523480E+02
99,2.534770E+02
100,2.545720E+02
101,2.556360E+02
102,2.566680E+02
103,2.576740E+02
104,2.586520E+02
105,2.596040E+02
106,2.605290E+02
107,2.614310E+02
108,2.623100E+02
109,2.631650E+02
110,2.639980E+02
111,2.648100E+02
112,2.655990E+02
113,2.663700E+02
114,2.671190E+02
115,2.678490E+02
116,2.685590E+02
117,2.692520E+02
118,2.699270E+02
119,2.705840E+02
120,2.712230E+02
121,2.718480E+02
122,2.724530E+02
123,2.730440E+02
124,2.736070E+02
125,2.741650E+02
126,2.747110E+02
127,2.752440E+02
128,2.757620E+02
129,2.762690E+02
130,2.767600E+02
131,2.772400E+02
132,2.777090E+02
133,2.781630E+02
134,2.786080E+02
135,2.790400E+02
136,2.794630E+02
137,2.798740E+02
138,2.802760E+02
139,2.806660E+02
140,2.810480E+02
141,2.814200E+02
142,2.817840E+02
143,2.821380E+02
144,2.824810E+02
145,2.828180E+02
146,2.831460E+02
147,2.834660E+02
148,2.837770E+02
149,2.840820E+02
150,2.843790E+02
151,2.846670E+02
152,2.849500E+02
153,2.852260E+02
154,2.854930E+02
155,2.857560E+02
156,2.860120E+02
157,2.862590E+02
158,2.865040E+02
159,2.867410E+02
160,2.869730E+02
161,2.872000E+02
162,2.874200E+02
163,2.876350E+02
164,2.878440E+02
165,2.880500E+02
166,2.882500E+02
167,2.884460E+02
168,2.886360E+02
169,2.888220E+02
170,2.890030E+02
171,2.891800E+02
172,2.893540E+02
173,2.895220E+02
174,2.896870E+02
175,2.898480E+02
176,2.900050E+02
177,2.901590E+02
178,2.903080E+02
179,2.904550E+02
180,2.905980E+02
181,2.907360E+02
182,2.908740E+02
183,2.910060E+02
184,2.911360E+02
185,2.912620E+02
186,2.913860E+02
187,2.915090E+02
188,2.916280E+02
189,2.917440E+02
190,2.918550E+02
191,2.919630E+02
192,2.920670E+02
193,2.921690E+02
194,2.922650E+02
195,2.923610E+02
196,2.924520E+02
197,2.925420E+02
198,2.926300E+02
199,2.927140E+02
200,2.927960E+02
201,2.928740E+02
202,2.929500E+02
203,2.930000E+02
204,2.930000E+02
205,2.930000E+02
206,2.930000E+02
207,2.930000E+02